description	pubmed_id	doi
Ability to inhibit [3H]WIN-35428 binding to cloned human dopamine (DA) transporter	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	15177457.0	10.1016/j.bmcl.2004.04.066
Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	15177457.0	10.1016/j.bmcl.2004.04.066
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	12213053.0	10.1021/jm010302r
Displacement of [125I]RT155 binding in HEK cells expressing human DAT	14592523.0	10.1016/j.bmcl.2003.07.014
Displacement of [125I]RT155 binding in HEK cells expressing human DAT	14592523.0	10.1016/j.bmcl.2003.07.014
Displacement of [125I]RT155 binding in HEK cells expressing human DAT	14592523.0	10.1016/j.bmcl.2003.07.014
Displacement of [125I]RT155 binding in HEK cells expressing human DAT	14592523.0	10.1016/j.bmcl.2003.07.014
Displacement of [125I]RT155 binding in HEK cells expressing human DAT	14592523.0	10.1016/j.bmcl.2003.07.014
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding to dopamine transporter	10649976.0	10.1021/jm9902178
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]RTI-55 binding at Dopamine transporter (DAT) expressed in HEK cells	10479296.0	10.1021/jm990161h
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Inhibition of [125I]- RTI -55 binding at the Dopamine transporter sites on HEK-hDAT cells	12213054.0	10.1021/jm010301z
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]mazindol from cocaine binding site on Dopamine transporter (DAT)	10612593.0	10.1016/s0960-894x(99)00607-1
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]GBR-12935 from dopamine transporter (DAT) in rat brain membranes	9135033.0	10.1021/jm960795d
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35 428 binding at dopamine transporter (DAT) in rat caudate putamen	11728190.0	10.1021/jm0101904
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [3H]WIN-35428 from dopamine transporter (DAT)	10612583.0	10.1016/s0960-894x(99)00606-x
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Displacement of [125I]RTI-55 from Dopamine transporter of rat caudate membranes	12127543.0	10.1016/s0960-894x(02)00348-7
Binding affinity towards dopamine transporter using [3H]-mazindol as radioligand in rat striatal membranes.	7636872.0	10.1021/jm00016a012
Binding affinity towards dopamine transporter using [3H]-mazindol as radioligand in rat striatal membranes.	7636872.0	10.1021/jm00016a012
