pref_name_target	organism	assay_id	assay_type	relationship_type	relationship_desc	confidence_score	curated_by	description	activity_id	relation	value	units	type	standard_relation	standard_value	standard_units	standard_flag	standard_type	pchembl_value	activity_comment	data_validity_comment	potential_duplicate	text_value	standard_text_value	molregno	chembl_id	canonical_smiles	pref_name	parent_molregno	active_molregno	doc_id	pubmed_id	doi	journal	year	volume	first_page	src_short_name
Dopamine transporter	Homo sapiens	61520	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]WIN-35428 binding to cloned human dopamine (DA) transporter	662617	=	240.0	uM	Ki	=	240000.0	nM	1	Ki			Outside typical range	0			192908	CHEMBL1175	CNCC[C@H](Oc1cccc2ccccc12)c3cccs3	DULOXETINE	192908	192908	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61521	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter	638610	=	2814.0	uM	Ki	=	2814000.0	nM	1	Ki			Outside typical range	0			192899	CHEMBL119605	CNCC[C@H](Oc1cccc2c(O)c(OC)ccc12)c3cccs3		192899	192899	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61521	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter	656577	=	7275.0	uM	Ki	=	7275000.0	nM	1	Ki			Outside typical range	0			192644	CHEMBL326713	CNCC[C@H](Oc1cccc2c(O)c(O)ccc12)c3cccs3		192644	192644	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61521	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter	657706	=	3509.0	uM	Ki	=	3509000.0	nM	1	Ki			Outside typical range	0			1341285	CHEMBL2029053	CNCC[C@H](Oc1ccc(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(=O)O)c3ccccc13)c4cccs4		1341285	1341285	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61522	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	639758	=	353.0	uM	Ki	=	353000.0	nM	1	Ki			Outside typical range	0			192867	CHEMBL325669	CNCC[C@H](Oc1cccc2c(OC)c(O)ccc12)c3cccs3		192867	192867	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61522	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	659085	=	163.5	uM	Ki	=	163500.0	nM	1	Ki			Outside typical range	0			192635	CHEMBL332098	CNCC[C@H](Oc1cccc2cc(O)ccc12)c3cccs3		192635	192635	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61522	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	666616	=	240.5	uM	Ki	=	240500.0	nM	1	Ki			Outside typical range	0			192900	CHEMBL324967	CNCC[C@H](Oc1cccc2c(O)cccc12)c3cccs3		192900	192900	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61522	B	D	Direct protein target assigned	9	Expert	Ability to inhibit [3H]mazindol binding to cloned human dopamine (DA) transporter; Average of two experiments	669132	=	130.0	uM	Ki	=	130000.0	nM	1	Ki			Outside typical range	0			192634	CHEMBL332097	CNCC[C@H](Oc1ccc(O)c2ccccc12)c3cccs3		192634	192634	6463	15177457.0	10.1016/j.bmcl.2004.04.066	Bioorg. Med. Chem. Lett.	2004.0	14.0	3481.0	LITERATURE
Dopamine transporter	Homo sapiens	61524	B	D	Direct protein target assigned	9	Expert	Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	391567	=	2.55	nM	Ki	=	2.55	nM	1	Ki	8.59			0			547314	CHEMBL544370	Cl.OC1(N2CCCN=C2c3ccccc13)c4ccc5OCOc5c4		666980	666980	16613	12213053.0	10.1021/jm010302r	J. Med. Chem.	2002.0	45.0	4097.0	LITERATURE
Dopamine transporter	Homo sapiens	61524	B	D	Direct protein target assigned	9	Expert	Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	392885	=	490.0	nM	Ki	=	490.0	nM	1	Ki	6.31			0			333370	CHEMBL370805	COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3	COCAINE	333370	333370	16613	12213053.0	10.1021/jm010302r	J. Med. Chem.	2002.0	45.0	4097.0	LITERATURE
Dopamine transporter	Homo sapiens	61524	B	D	Direct protein target assigned	9	Expert	Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	392897	=	23.1	nM	Ki	=	23.1	nM	1	Ki	7.64			0			218306	CHEMBL336100	OC1(N2CCN=C2c3c(F)cccc13)c4ccc(Cl)cc4		218306	218306	16613	12213053.0	10.1021/jm010302r	J. Med. Chem.	2002.0	45.0	4097.0	LITERATURE
Dopamine transporter	Homo sapiens	61524	B	D	Direct protein target assigned	9	Expert	Displacement of [125I]- RTI-55 from Dopamine transporter expressed in HEK cells	393942	=	45.0	nM	Ki	=	45.0	nM	1	Ki	7.35			0			46385	CHEMBL781	OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4	MAZINDOL	46385	46385	16613	12213053.0	10.1021/jm010302r	J. Med. Chem.	2002.0	45.0	4097.0	LITERATURE
