description	pubmed_id	doi
Reuptake inhibitory activity against dopamine DA transporter	15115403.0	10.1021/jm0305873
Reuptake inhibitory activity against dopamine DA transporter	15115403.0	10.1021/jm0305873
Reuptake inhibitory activity against dopamine DA transporter	15115403.0	10.1021/jm0305873
Reuptake inhibitory activity against dopamine DA transporter	15115403.0	10.1021/jm0305873
Reuptake inhibitory activity against dopamine DA transporter	15115403.0	10.1021/jm0305873
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Binding affinity for dopamine transporters in rat brain tissue.	8201589.0	10.1021/jm00037a004
Inhibition constant of high-affinity dopamine uptake	8515426.0	10.1021/jm00065a012
Inhibition of [18F]PET binding to dopamine transporter of human brain	15482938.0	10.1016/j.bmcl.2004.08.049
Inhibition of [18F]PET binding to dopamine transporter of human brain	15482938.0	10.1016/j.bmcl.2004.08.049
Inhibition of [18F]PET binding to dopamine transporter of human brain	15482938.0	10.1016/j.bmcl.2004.08.049
Inhibition of [18F]PET binding to dopamine transporter of human brain	15482938.0	10.1016/j.bmcl.2004.08.049
Inhibition of [18F]PET binding to dopamine transporter of human brain	15482938.0	10.1016/j.bmcl.2004.08.049
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Ability of compound to inhibit dopamine uptake of receptor was determined	15808487.0	10.1016/j.bmcl.2005.02.012
Inhibition constant against dopamine transporter	16220969.0	10.1021/jm058225d
Inhibition constant against dopamine transporter	16220969.0	10.1021/jm058225d
Binding inhibition towards human dopamine transporter	16162005.0	10.1021/jm0503291
Binding inhibition towards human dopamine transporter	16162005.0	10.1021/jm0503291
Binding inhibition towards human dopamine transporter	16162005.0	10.1021/jm0503291
Inhibition of monoamine reuptake at dopamine transporter	16137883.0	10.1016/j.bmcl.2005.07.038
Binding affinity to DAT	16392798.0	10.1021/jm050725j
Binding affinity to human DA transporter	16722655.0	10.1021/jm060012g
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
Inhibition of DAT	16931001.0	10.1016/j.bmcl.2006.08.012
