pref_name_target	organism	assay_id	assay_type	relationship_type	relationship_desc	confidence_score	curated_by	description	activity_id	relation	value	units	type	standard_relation	standard_value	standard_units	standard_flag	standard_type	pchembl_value	activity_comment	data_validity_comment	potential_duplicate	text_value	standard_text_value	molregno	chembl_id	canonical_smiles	pref_name	parent_molregno	active_molregno	doc_id	pubmed_id	doi	journal	year	volume	first_page	src_short_name
Dopamine transporter	Rattus norvegicus	62643	B	D	Direct protein target assigned	9	Expert	Reuptake inhibitory activity against dopamine DA transporter	1151647	=	2.0	nM	Ki	=	2.0	nM	1	Ki	8.7			0			80530	CHEMBL296602	CNC1CC(c2ccc(Cl)c(Cl)c2)c3ccccc13	INDATRALINE	80530	80530	6907	15115403.0	10.1021/jm0305873	J. Med. Chem.	2004.0	47.0	2624.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62643	B	D	Direct protein target assigned	9	Expert	Reuptake inhibitory activity against dopamine DA transporter	1159453	=	3.0	nM	Ki	=	3.0	nM	1	Ki	8.52			0			142681	CHEMBL89142	CN[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccc(O)cc13		142681	142681	6907	15115403.0	10.1021/jm0305873	J. Med. Chem.	2004.0	47.0	2624.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62643	B	D	Direct protein target assigned	9	Expert	Reuptake inhibitory activity against dopamine DA transporter	1171391	=	600.0	nM	Ki	=	600.0	nM	1	Ki	6.22			0			551836	CHEMBL554565	Cl.CN[C@H]1C[C@H](c2ccc(Cl)c(Cl)c2)c3ccc(OC)cc13		669386	669386	6907	15115403.0	10.1021/jm0305873	J. Med. Chem.	2004.0	47.0	2624.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62643	B	D	Direct protein target assigned	9	Expert	Reuptake inhibitory activity against dopamine DA transporter	1174044	=	12.0	nM	Ki	=	12.0	nM	1	Ki	7.92			0			546055	CHEMBL543372	Cl.CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(OC)cc13		666131	666131	6907	15115403.0	10.1021/jm0305873	J. Med. Chem.	2004.0	47.0	2624.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62643	B	D	Direct protein target assigned	9	Expert	Reuptake inhibitory activity against dopamine DA transporter	1174050	=	32.0	nM	Ki	=	32.0	nM	1	Ki	7.5			0			142897	CHEMBL89752	CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(O)cc13		142897	142897	6907	15115403.0	10.1021/jm0305873	J. Med. Chem.	2004.0	47.0	2624.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1245434	=	1.2	nM	Ki	=	1.2	nM	1	Ki	8.92			0			57700	CHEMBL38666	CC(C)OC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccc(I)cc3)N2CCCF		57700	57700	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1247822	=	14.7	nM	Ki	=	14.7	nM	1	Ki	7.83			0			57899	CHEMBL40560	COC(=O)[C@@H]1C2CC[C@H](CC1c3ccc(F)cc3)N2C		57899	57899	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1250576	=	1.4	nM	Ki	=	1.4	nM	1	Ki	8.85			0			57900	CHEMBL290970	COC(=O)[C@@H]1C2CC[C@H](CC1c3ccc(I)cc3)N2C		57900	57900	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1256871	=	3.5	nM	Ki	=	3.5	nM	1	Ki	8.46			0			57947	CHEMBL41141	COC(=O)[C@@H]1C2CC[C@H](CC1c3ccc(I)cc3)N2CCCF		57947	57947	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1258087	=	4.4	nM	Ki	=	4.4	nM	1	Ki	8.36			0			57736	CHEMBL38653	CC(C)OC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccc(I)cc3)N2CCF		57736	57736	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1258088	=	4.0	nM	Ki	=	4.0	nM	1	Ki	8.4			0			58157	CHEMBL41966	COC(=O)[C@@H]1C2CC[C@H](CC1c3ccc(I)cc3)N2CCF		58157	58157	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62647	B	D	Direct protein target assigned	9	Expert	Binding affinity for dopamine transporters in rat brain tissue.	1259264	=	510.0	nM	Ki	=	510.0	nM	1	Ki	6.29			0			333370	CHEMBL370805	COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3	COCAINE	333370	333370	12326	8201589.0	10.1021/jm00037a004	J. Med. Chem.	1994.0	37.0	1558.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62802	B	D	Direct protein target assigned	9	Autocuration	Inhibition constant of high-affinity dopamine uptake	1168478	=	0.53	mM	Ki	=	530000.0	nM	1	Ki			Outside typical range	0			86903	CHEMBL57055	[I-].C[N+](C)(C)CC(O)c1ccc(O)c(O)c1	CATECHOLINE	653001	653001	11863	8515426.0	10.1021/jm00065a012	J. Med. Chem.	1993.0	36.0	1893.0	LITERATURE
Dopamine transporter	Homo sapiens	303165	B	D	Direct protein target assigned	9	Expert	Inhibition of [18F]PET binding to dopamine transporter of human brain	1455581	=	5.0	nM	Ki	=	5.0	nM	1	Ki	8.3			0			311471	CHEMBL365649	CN1C2CCC1C(C(C2)c3ccc(Br)cc3)C(=O)OCCCF		311471	311471	20282	15482938.0	10.1016/j.bmcl.2004.08.049	Bioorg. Med. Chem. Lett.	2004.0	14.0	5635.0	LITERATURE
Dopamine transporter	Homo sapiens	303165	B	D	Direct protein target assigned	9	Expert	Inhibition of [18F]PET binding to dopamine transporter of human brain	1455591	=	5.0	nM	Ki	=	5.0	nM	1	Ki	8.3			0			311399	CHEMBL184807	FCCCOC(=O)C1C2CCC(CC1c3ccc(Br)cc3)N2		311399	311399	20282	15482938.0	10.1016/j.bmcl.2004.08.049	Bioorg. Med. Chem. Lett.	2004.0	14.0	5635.0	LITERATURE
Dopamine transporter	Homo sapiens	303165	B	D	Direct protein target assigned	9	Expert	Inhibition of [18F]PET binding to dopamine transporter of human brain	1458028	=	5.0	nM	Ki	=	5.0	nM	1	Ki	8.3			0			311400	CHEMBL185608	CN1C2CCC1C(C(C2)c3ccc(Br)cc3)C(=O)OCCF		311400	311400	20282	15482938.0	10.1016/j.bmcl.2004.08.049	Bioorg. Med. Chem. Lett.	2004.0	14.0	5635.0	LITERATURE
Dopamine transporter	Homo sapiens	303165	B	D	Direct protein target assigned	9	Expert	Inhibition of [18F]PET binding to dopamine transporter of human brain	1458127	=	5.0	nM	Ki	=	5.0	nM	1	Ki	8.3			0			311530	CHEMBL186119	FCCOC(=O)C1C2CCC(CC1c3ccc(Br)cc3)N2		311530	311530	20282	15482938.0	10.1016/j.bmcl.2004.08.049	Bioorg. Med. Chem. Lett.	2004.0	14.0	5635.0	LITERATURE
Dopamine transporter	Homo sapiens	303165	B	D	Direct protein target assigned	9	Expert	Inhibition of [18F]PET binding to dopamine transporter of human brain	1458131	=	5.0	nM	Ki	=	5.0	nM	1	Ki	8.3			0			311531	CHEMBL186306	FCCOC(=O)C1C2CCC(CC1c3ccc(I)cc3)N2		311531	311531	20282	15482938.0	10.1016/j.bmcl.2004.08.049	Bioorg. Med. Chem. Lett.	2004.0	14.0	5635.0	LITERATURE
