description	pubmed_id	doi
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	10406650.0	10.1016/s0960-894x(99)00273-5
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	7636872.0	10.1021/jm00016a012
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA reuptake at dopamine transporter in rat striatum	11909701.0	10.1016/s0960-894x(02)00103-8
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]DA uptake by rat striatal dopamine transporter	7830281.0	10.1021/jm00002a020
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]dopamine uptake at striatal nerve endings by dopamine transporter	10612593.0	10.1016/s0960-894x(99)00607-1
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA binding to dopamine transporter of rat brain synaptosomes	10937724.0	10.1016/s0960-894x(00)00308-5
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibition of [3H]DA uptake by dopamine transporter of rat striata synaptosomes	10737754.0	10.1021/jm9905561
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibitory constant against reuptake of [3H]-DA at dopamine transporter of rat striatal membranes	15863297.0	10.1016/j.bmcl.2005.03.083
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Inhibition of high affinity uptake by the dopamine transporter from rat synaptosomal nerve endings by using [3H]DA as radioligand	15537337.0	10.1021/jm040117o
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Ability to inhibit [3H]DA uptake through DAT in rat synaptosomes	16335921.0	10.1021/jm050694s
Displacement of [3H]dopamine from human DAT expressed in COS7 cells	16302792.0	10.1021/jm050431y
Displacement of [3H]dopamine from human DAT expressed in COS7 cells	16302792.0	10.1021/jm050431y
Displacement of [3H]dopamine from human DAT expressed in COS7 cells	16302792.0	10.1021/jm050431y
Displacement of [3H]dopamine from human DAT expressed in COS7 cells	16302792.0	10.1021/jm050431y
Displacement of [3H]dopamine from human DAT expressed in COS7 cells	16302792.0	10.1021/jm050431y
Inhibition of [3H]DA uptake	16509591.0	10.1021/jm050766f
Inhibition of [3H]DA uptake	16509591.0	10.1021/jm050766f
Inhibition of [3H]DA uptake	16509591.0	10.1021/jm050766f
Inhibition of [3H]DA uptake	16509591.0	10.1021/jm050766f
Inhibition of [3H]DA uptake	16509591.0	10.1021/jm050766f
Inhibition of [3H]DA uptake	16509591.0	10.1021/jm050766f
Inhibition of DAT-mediated [3H]DA uptake in rat striatum	16821783.0	10.1021/jm0601699
