pref_name_target	organism	assay_id	assay_type	relationship_type	relationship_desc	confidence_score	curated_by	description	activity_id	relation	value	units	type	standard_relation	standard_value	standard_units	standard_flag	standard_type	pchembl_value	activity_comment	data_validity_comment	potential_duplicate	text_value	standard_text_value	molregno	chembl_id	canonical_smiles	pref_name	parent_molregno	active_molregno	doc_id	pubmed_id	doi	journal	year	volume	first_page	src_short_name
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	904684	=	13.8	uM	Ki	=	13800.0	nM	1	Ki	4.86			0			1510360	CHEMBL2310930	COC(=O)[C@H]1C2CCC(C[C@@H]1OC(=O)c3ccccc3)N2	PSEUDOCOCAINE	1510360	1510360	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	919010	=	8.5	uM	Ki	=	8500.0	nM	1	Ki	5.07			0			81621	CHEMBL301941	COC(=O)[C@H]1[C@H](CC2CCC1O2)OC(=O)c3ccccc3		81621	81621	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	929295	=	35.0	uM	Ki	=	35000.0	nM	1	Ki	4.46			0			81674	CHEMBL50518	COC(=O)[C@@H]1[C@@H](CC2CCC1O2)OC(=O)c3ccccc3		81674	81674	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	929297	=	23.0	uM	Ki	=	23000.0	nM	1	Ki	4.64			0			81673	CHEMBL299297	COC(=O)[C@H]1[C@@H](CC2CCC1O2)OC(=O)c3ccccc3		81673	81673	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	930569	=	0.32	uM	Ki	=	320.0	nM	1	Ki	6.5			0			333370	CHEMBL370805	COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3	COCAINE	333370	333370	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	933423	=	47.7	uM	Ki	=	47700.0	nM	1	Ki	4.32			0			81582	CHEMBL53436	COC(=O)[C@@H]1[C@H](CC2CCC1O2)OC(=O)c3ccccc3		81582	81582	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	934937	=	9.4	uM	Ki	=	9400.0	nM	1	Ki	5.03			0			81621	CHEMBL301941	COC(=O)[C@H]1[C@H](CC2CCC1O2)OC(=O)c3ccccc3		81621	81621	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	940338	=	6.0	uM	Ki	=	6000.0	nM	1	Ki	5.22			0			81582	CHEMBL53436	COC(=O)[C@@H]1[C@H](CC2CCC1O2)OC(=O)c3ccccc3		81582	81582	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62329	B	D	Direct protein target assigned	9	Expert	Inhibition of high affinity uptake of [3H]dopamine into striatal nerve endings (synaptosomes)	942876	=	2.0	uM	Ki	=	2000.0	nM	1	Ki	5.7			0			81620	CHEMBL301281	COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c3ccccc3)N2		81620	81620	3189	10406650.0	10.1016/s0960-894x(99)00273-5	Bioorg. Med. Chem. Lett.	1999.0	9.0	1831.0	LITERATURE
Dopamine transporter	Rattus norvegicus	62476	B	D	Direct protein target assigned	9	Expert	Inhibition of [3H]dopamine binding to rat striatal synaptosome dopamine transporter	433416	=	2.35	nM	Ki	=	2.35	nM	1	Ki	8.63			0			35723	CHEMBL27336	CC[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)cc3)N2C		35723	35723	12997	7636872.0	10.1021/jm00016a012	J. Med. Chem.	1995.0	38.0	3086.0	LITERATURE
