description	pubmed_id	doi
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Binding affinity to wild type human ERG expressed in HEK293 cells assessed as inhibition of tail current measured upon repolarization to -40 mV by patch clamp method	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK293 cells by electrophysiology assay	23675993.0	10.1021/jm400408r
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK cells by patch clamp technique	20889341.0	10.1016/j.bmcl.2010.09.038
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Blockade of hERG expressed in HEK293 cells by whole-cell patch clamp method	17536794.0	10.1021/jm0700565
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in HEK293 cells by electrophysiology assay	23675993.0	10.1021/jm400408r
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human cloned ERG expressed in CHO cells assessed as inhibition of potassium channel current by automated patch clamp assay	24805037.0	10.1021/jm401895u
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by Qpatch assay	28038328.0	10.1016/j.ejmech.2016.12.038
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK293 cells assessed as inhibition of potassium channel current after 5 mins by patch clamp assay	21741835.0	10.1016/j.bmcl.2011.06.017
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK293 cells assessed as decrease in tail current amplitude by whole cell patch clamp method		
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG in L929 cells by whole cell patch-clamp assay	19660947.0	10.1016/j.bmcl.2009.07.047
Inhibition of human ERG expressed in HEK293 cells by patch clamp method	28481112.0	10.1021/acs.jmedchem.7b00332
Inhibition of human ERG in L929 cells at 10 uM by whole cell patch-clamp assay	19660947.0	10.1016/j.bmcl.2009.07.047
Inhibition of human ERG potassium channel in HEK293 cells by patch clamp assay	16931010.0	10.1016/j.bmcl.2006.08.039
Inhibition of wild-type human ERG expressed in HEK293 cells by whole cell patch clamp method	19260734.0	10.1021/jm801236n
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human cloned ERG channel expressed in chinese hamster CHO cells after 5 mins by patch clamp assay	21955244.0	10.1021/jm2005546
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK293 cells by patch-clamp method	18954038.0	10.1021/jm8009537
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Binding affinity to wild type human ERG expressed in HEK293 cells assessed as inhibition of tail current measured upon repolarization to -40 mV by patch clamp method	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG current by patch clamp assay	23711922.0	10.1016/j.bmcl.2013.04.074
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG assessed as reduction in channel current by automated patch-clamp electrophysiology assay	27017549.0	10.1016/j.ejmech.2016.02.039
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG by patch clamp assay	21843937.0	10.1016/j.bmcl.2011.07.087
Inhibition of human ERG expressed in CHO cells by IONWORKS assay	23200256.0	10.1016/j.bmcl.2012.10.140
Inhibition of human ERG expressed in HEK cells by patch clamp assay	26231163.0	10.1016/j.bmcl.2015.07.038
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG potassium channel in HEK293 cells by patch clamp assay	16931010.0	10.1016/j.bmcl.2006.08.039
Inhibition of human ERG expressed in HEK293 cells by whole cell patch clamp method	19260734.0	10.1021/jm801236n
Inhibition of human ERG expressed in CHOK1 cells by Qpatch clamp method	28385503.0	10.1016/j.bmcl.2017.03.030
Inhibition of human ERG channel expressed in CHO cells by IonWorks assay		10.1039/C2MD20010D
Inhibition of human ERG expressed in CHO cells by whole-cell patch clamp assay	24564525.0	10.1021/jm4016284
Inhibition of human ERG expressed in CHO cells by whole-cell patch clamp assay	24564525.0	10.1021/jm4016284
Inhibition of human ERG expressed in HEK293 cells assessed as decrease in tail current amplitude by whole cell patch clamp method		
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK293 cells by whole cell patch clamp method	19260734.0	10.1021/jm801236n
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by Qpatch assay	28038328.0	10.1016/j.ejmech.2016.12.038
Inhibition of human ERG expressed in CHO cells by whole-cell patch clamp assay	24564525.0	10.1021/jm4016284
Inhibition of human ERG transfected in HEK293 cells assessed as reduction in tail current by patch clamp assay	27564135.0	10.1021/acs.jmedchem.6b00972
Inhibition of human ERG tail current expressed in HEK293 cells after 5 mins by patch clamp assay	26951894.0	10.1016/j.bmc.2016.02.031
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHOK1 cells assessed as inhibition of tail current after 5 mins by automated whole-cell patch clamp assay	27105029.0	10.1016/j.ejmech.2016.03.083
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay	19553115.0	10.1016/j.bmcl.2009.05.086
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG expressed in HEK cells by patch clamp technique	20889341.0	10.1016/j.bmcl.2010.09.038
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG channel in HEK293 cells by voltage-clamp method	18262683.0	10.1016/j.ejmech.2007.12.025
Inhibition of human ERG by patch-clamp assay	19775168.0	10.1021/jm900729s
Inhibition of human ERG expressed in HEK293 cells by patch clamp method	28613871.0	10.1021/acs.jmedchem.6b01647
Inhibition of human ERG expressed in HEK293 cells by patch clamp method	28613871.0	10.1021/acs.jmedchem.6b01647
Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique	18448342.0	10.1016/j.bmc.2008.04.028
Inhibition of human ERG by patch clamp assay	21650221.0	10.1021/jm200388e
Inhibition of human ERG by manual patch clamp assay	21650221.0	10.1021/jm200388e
Inhibition of human ERG expressed in CHO cells by automated patch clamp electrophysiology assay	20205394.0	10.1021/jm100007m
