description	pubmed_id	doi
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG channel	19534531.0	10.1021/jm900002x
Inhibition of human ERG channel	19534531.0	10.1021/jm900002x
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG in MCF7 cells	19110341.0	10.1016/j.ejmech.2008.11.009
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	23919353.0	10.1021/jm400856t
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG in MCF7 cells	19110341.0	10.1016/j.ejmech.2008.11.009
Inhibition of human ERG in MCF7 cells	19110341.0	10.1016/j.ejmech.2008.11.009
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG in MCF7 cells	19110341.0	10.1016/j.ejmech.2008.11.009
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG in MCF7 cells	19110341.0	10.1016/j.ejmech.2008.11.009
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	23919353.0	10.1021/jm400856t
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG		10.1039/C4MD00578C
Inhibition of human ERG channel	19534531.0	10.1021/jm900002x
Inhibition of human ERG channel	19534531.0	10.1021/jm900002x
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG in MCF7 cells	19110341.0	10.1016/j.ejmech.2008.11.009
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
Inhibition of human ERG potassium channel	18243713.0	10.1016/j.bmc.2008.01.017
Inhibition of human ERG	21185626.0	10.1016/j.ejmech.2010.11.042
