description	pubmed_id	doi
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibitory activity against Potassium channel HERG	12747773.0	10.1021/jm0205651
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human cloned ERG	19222165.0	10.1021/jm8012618
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibitory activity against Potassium channel HERG	12747773.0	10.1021/jm0205651
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibitory activity against Potassium channel HERG	12747773.0	10.1021/jm0205651
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibitory activity against Potassium channel HERG	12747773.0	10.1021/jm0205651
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibitory activity against Potassium channel HERG	12747773.0	10.1021/jm0205651
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of human hERG	21126876.0	10.1016/j.bmcl.2010.11.033
Inhibition of human Potassium channel HERG expressed in mammalian cells	12873512.0	10.1016/s0960-894x(03)00492-x
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	12729675.0	10.1016/s0960-894x(03)00196-3
