pref_name_target	organism	assay_id	assay_type	relationship_type	relationship_desc	confidence_score	curated_by	description	activity_id	relation	value	units	type	standard_relation	standard_value	standard_units	standard_flag	standard_type	pchembl_value	activity_comment	data_validity_comment	potential_duplicate	text_value	standard_text_value	molregno	chembl_id	canonical_smiles	pref_name	parent_molregno	active_molregno	doc_id	pubmed_id	doi	journal	year	volume	first_page	src_short_name
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1053112	=	3.61		pIC50	=	245470.89	nM	1	IC50			Outside typical range	1			115	CHEMBL3	CN1CCC[C@H]1c2cccnc2	NICOTINE	115	115	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1038441	=	2.85		pIC50	=	1412537.54	nM	1	IC50			Outside typical range	1			146	CHEMBL4	CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O	OFLOXACIN	146	146	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1043115	=	3.02		pIC50	=	954992.59	nM	1	IC50			Outside typical range	1			241	CHEMBL8	OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O	CIPROFLOXACIN	241	241	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1063200	=	5.47		pIC50	=	3388.44	nM	1	IC50	5.47			1			605	CHEMBL11	CN(C)CCCN1c2ccccc2CCc3ccccc13	IMIPRAMINE	605	605	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1048319	=	3.62		pIC50	=	239883.29	nM	1	IC50			Outside typical range	1			1216	CHEMBL22	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	TRIMETHOPRIM	1216	1216	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1050647	=	6.85		pIC50	=	141.25	nM	1	IC50	6.85			1			1219	CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	VERAPAMIL	1219	1219	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158542	B	D	Direct protein target assigned	9	Expert	Inhibition of K+ channel activity in CHO cells expressing HERG Kv11.1	759116	=	143.0	nM	IC50	=	143.0	nM	1	IC50	6.84			1			1219	CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	VERAPAMIL	1219	1219	5535	12729675.0	10.1016/s0960-894x(03)00196-3	Bioorg. Med. Chem. Lett.	2003.0	13.0	1829.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1049380	=	4.76		pIC50	=	17378.01	nM	1	IC50	4.76			1			1278	CHEMBL23	COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C	DILTIAZEM	1278	1278	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1047052	=	3.89		pIC50	=	128824.96	nM	1	IC50			Outside typical range	1			1712	CHEMBL31	COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O	GATIFLOXACIN	1712	1712	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
HERG	Homo sapiens	158540	B	D	Direct protein target assigned	9	Expert	Inhibition of human Potassium channel HERG expressed in mammalian cells	1054249	=	3.89		pIC50	=	128824.96	nM	1	IC50			Outside typical range	1			1788	CHEMBL32	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O	MOXIFLOXACIN	1788	1788	5706	12873512.0	10.1016/s0960-894x(03)00492-x	Bioorg. Med. Chem. Lett.	2003.0	13.0	2773.0	LITERATURE
