description	pubmed_id	doi
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
Displacement of [3H] astemizole from human recombinant ERG channel expressed in HEK293 cells	20637635.0	10.1016/j.bmc.2010.06.037
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
Displacement of [3H]astemizole from human ERG K+ channel expressed in HEK293 cells by scintillation spectrophotometric analysis	23473309.0	10.1021/jm301564f
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
Displacement of [3H]Dofetilide from human ERG expressed in HEK cells after 180 mins by scintillation counting method	29227643.0	10.1021/acs.jmedchem.7b01454
Displacement of [3H]Dofetilide from human ERG expressed in HEK cells after 180 mins by scintillation counting method	29227643.0	10.1021/acs.jmedchem.7b01454
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
Displacement of [3H]astemizole from human ERG expressed in HEK293 cells by scintillation counting method	25238555.0	10.1021/jm5010682
Displacement of [3H]bufuralol from hERG channel expressed in HEK293 cells	17766106.0	10.1016/j.bmcl.2007.08.014
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
Displacement of labeled dofetilide human ERG	21381763.0	10.1021/jm1013874
Displacement of [3H]-Dofetilide from recombinant human ERG expressed in CHOK1 cell membranes incubated for 4 hrs under dark condition by luminescence assay	28958623.0	10.1016/j.bmcl.2017.09.020
Displacement of [3H]dofetilide from human ERG	22985961.0	10.1016/j.bmc.2012.08.032
Displacement of [3H]-dofetilide from human ERG expressed in CHOK1 cell membranes incubated for 4 hrs in dark by luminescent assay	27866818.0	10.1016/j.bmcl.2016.11.022
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole)		
Inhibition of [3H]-astemizole binding to human ERG expressed in HEK293 cell membranes by scintillation counting method	29370702.0	10.1021/acs.jmedchem.7b01765
Displacement of [3H]astemizole from human ERG potassium channel expressed in HEK293 cell membrane	18588282.0	10.1021/jm701575k
