pref_name_target	organism	assay_id	assay_type	relationship_type	relationship_desc	confidence_score	curated_by	description	activity_id	relation	value	units	type	standard_relation	standard_value	standard_units	standard_flag	standard_type	pchembl_value	activity_comment	data_validity_comment	potential_duplicate	text_value	standard_text_value	molregno	chembl_id	canonical_smiles	pref_name	parent_molregno	active_molregno	doc_id	pubmed_id	doi	journal	year	volume	first_page	src_short_name
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218924	=	5.8		pIC50	=	1584.89	nM	1	IC50	5.8			0			97	CHEMBL2	COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4	PRAZOSIN	97	97	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	545772	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG channel	2295032	=	244.3	uM	IC50	=	244300.0	nM	1	IC50			Outside typical range	0			115	CHEMBL3	CN1CCC[C@H]1c2cccnc2	NICOTINE	115	115	46990	19534531.0	10.1021/jm900002x	J. Med. Chem.	2009.0	52.0	4266.0	LITERATURE
HERG	Homo sapiens	545772	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG channel	2295143	=	3.6120769999999998		pIC50	=	244299.74	nM	1	IC50			Outside typical range	0			115	CHEMBL3	CN1CCC[C@H]1c2cccnc2	NICOTINE	115	115	46990	19534531.0	10.1021/jm900002x	J. Med. Chem.	2009.0	52.0	4266.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5219034	=	2.85		pIC50	=	1412537.54	nM	1	IC50			Outside typical range	0			146	CHEMBL4	CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O	OFLOXACIN	146	146	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5219017	=	3.52		pIC50	=	301995.17	nM	1	IC50			Outside typical range	0			173	CHEMBL6	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3	INDOMETHACIN	173	173	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5215122	=	3.02		pIC50	=	954992.59	nM	1	IC50			Outside typical range	0			241	CHEMBL8	OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O	CIPROFLOXACIN	241	241	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	572012	B	D	Direct protein target assigned	9	Intermediate	Inhibition of human ERG in MCF7 cells	2645514	=	5.47		pIC50	=	3388.44	nM	1	IC50	5.47			1			605	CHEMBL11	CN(C)CCCN1c2ccccc2CCc3ccccc13	IMIPRAMINE	605	605	47284	19110341.0	10.1016/j.ejmech.2008.11.009	Eur. J. Med. Chem.	2009.0	44.0	1926.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218965	=	5.47		pIC50	=	3388.44	nM	1	IC50	5.47			0			605	CHEMBL11	CN(C)CCCN1c2ccccc2CCc3ccccc13	IMIPRAMINE	605	605	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218958	=	3.62		pIC50	=	239883.29	nM	1	IC50			Outside typical range	0			921	CHEMBL16	OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3	PHENYTOIN	921	921	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5215119	=	3.62		pIC50	=	239883.29	nM	1	IC50			Outside typical range	0			1216	CHEMBL22	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	TRIMETHOPRIM	1216	1216	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	1275662	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	13828642	=	0.01	uM	IC50	=	10.0	nM	1	IC50	8.0			0			1219	CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	VERAPAMIL	1219	1219	75979	23919353.0	10.1021/jm400856t	J. Med. Chem.	2013.0	56.0	8955.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218931	=	6.85		pIC50	=	141.25	nM	1	IC50	6.85			0			1219	CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	VERAPAMIL	1219	1219	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	572012	B	D	Direct protein target assigned	9	Intermediate	Inhibition of human ERG in MCF7 cells	2645523	=	6.84		pIC50	=	144.54	nM	1	IC50	6.84			1			1219	CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	VERAPAMIL	1219	1219	47284	19110341.0	10.1016/j.ejmech.2008.11.009	Eur. J. Med. Chem.	2009.0	44.0	1926.0	LITERATURE
HERG	Homo sapiens	572012	B	D	Direct protein target assigned	9	Intermediate	Inhibition of human ERG in MCF7 cells	2645536	=	4.76		pIC50	=	17378.01	nM	1	IC50	4.76			0			1278	CHEMBL23	COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C	DILTIAZEM	1278	1278	47284	19110341.0	10.1016/j.ejmech.2008.11.009	Eur. J. Med. Chem.	2009.0	44.0	1926.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5215124	=	3.89		pIC50	=	128824.96	nM	1	IC50			Outside typical range	0			1712	CHEMBL31	COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O	GATIFLOXACIN	1712	1712	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	572012	B	D	Direct protein target assigned	9	Intermediate	Inhibition of human ERG in MCF7 cells	2645542	=	3.89		pIC50	=	128824.96	nM	1	IC50			Outside typical range	1			1712	CHEMBL31	COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O	GATIFLOXACIN	1712	1712	47284	19110341.0	10.1016/j.ejmech.2008.11.009	Eur. J. Med. Chem.	2009.0	44.0	1926.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5215118	=	3.89		pIC50	=	128824.96	nM	1	IC50			Outside typical range	0			1788	CHEMBL32	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O	MOXIFLOXACIN	1788	1788	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	572012	B	D	Direct protein target assigned	9	Intermediate	Inhibition of human ERG in MCF7 cells	2645541	=	3.93		pIC50	=	117489.76	nM	1	IC50			Outside typical range	0			1788	CHEMBL32	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O	MOXIFLOXACIN	1788	1788	47284	19110341.0	10.1016/j.ejmech.2008.11.009	Eur. J. Med. Chem.	2009.0	44.0	1926.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5215114	=	2.52		pIC50	=	3019951.72	nM	1	IC50			Outside typical range	0			2217	CHEMBL40	CCC1(C(=O)NC(=O)NC1=O)c2ccccc2	PHENOBARBITAL	2217	2217	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	1275662	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	13828640	=	0.01	uM	IC50	=	10.0	nM	1	IC50	8.0			0			2223	CHEMBL41	CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	FLUOXETINE	2223	2223	75979	23919353.0	10.1021/jm400856t	J. Med. Chem.	2013.0	56.0	8955.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218980	=	6.34		pIC50	=	457.09	nM	1	IC50	6.34			0			2223	CHEMBL41	CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	FLUOXETINE	2223	2223	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218945	=	6.0		pIC50	=	1000.0	nM	1	IC50	6.0			0			2249	CHEMBL7463	CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15	GF-109203	2249	2249	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
HERG	Homo sapiens	1541589	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	16399913	=	901.0	nM	IC50	=	901.0	nM	1	IC50	6.04			0			2261	CHEMBL42	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	CLOZAPINE	2261	2261	97392		10.1039/C4MD00578C	MedChemComm	2015.0	6.0	831.0	LITERATURE
HERG	Homo sapiens	545772	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG channel	2295022	=	0.32	uM	IC50	=	320.0	nM	1	IC50	6.5			0			2261	CHEMBL42	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	CLOZAPINE	2261	2261	46990	19534531.0	10.1021/jm900002x	J. Med. Chem.	2009.0	52.0	4266.0	LITERATURE
HERG	Homo sapiens	545772	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG channel	2295133	=	6.49485		pIC50	=	320.0	nM	1	IC50	6.5			0			2261	CHEMBL42	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	CLOZAPINE	2261	2261	46990	19534531.0	10.1021/jm900002x	J. Med. Chem.	2009.0	52.0	4266.0	LITERATURE
HERG	Homo sapiens	725152	B	D	Direct protein target assigned	9	Autocuration	Inhibition of human ERG	5218976	=	5.4		pIC50	=	3981.07	nM	1	IC50	5.4			0			2261	CHEMBL42	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	CLOZAPINE	2261	2261	55596	21185626.0	10.1016/j.ejmech.2010.11.042	Eur. J. Med. Chem.	2011.0	46.0	618.0	LITERATURE
